rank,team_ids,predicted_success,key_drivers,counterfactual,95%_ДИ
1,"EMP-10128, EMP-10025, EMP-10148, EMP-10076",88.2%,skill_coverage (+17%) | senior_ratio (+3%),Оптимальный баланс. Масштабировать без изменений.,[87%; 88%]
2,"EMP-10028, EMP-10115, EMP-10100, EMP-10053, EMP-10046",88.2%,skill_coverage (+16%) | senior_ratio (+3%),Оптимальный баланс. Масштабировать без изменений.,[87%; 88%]
3,"EMP-10039, EMP-10075, EMP-10138, EMP-10110",87.9%,skill_coverage (+16%) | senior_ratio (+3%),Оптимальный баланс. Масштабировать без изменений.,[88%; 89%]
4,"EMP-10115, EMP-10079, EMP-10198, EMP-10058",87.9%,skill_coverage (+16%) | senior_ratio (+3%),Оптимальный баланс. Масштабировать без изменений.,[88%; 88%]
5,"EMP-10148, EMP-10025, EMP-10126, EMP-10071",87.8%,skill_coverage (+16%) | senior_ratio (+3%),Оптимальный баланс. Масштабировать без изменений.,[87%; 89%]
6,"EMP-10184, EMP-10166, EMP-10075, EMP-10182",87.7%,skill_coverage (+16%) | senior_ratio (+3%),Оптимальный баланс. Масштабировать без изменений.,[87%; 88%]
7,"EMP-10147, EMP-10003, EMP-10020, EMP-10133",87.6%,skill_coverage (+16%) | senior_ratio (+3%),Оптимальный баланс. Масштабировать без изменений.,[87%; 88%]
8,"EMP-10167, EMP-10047, EMP-10064, EMP-10157",87.5%,skill_coverage (+15%) | senior_ratio (+3%),Оптимальный баланс. Масштабировать без изменений.,[87%; 88%]
9,"EMP-10175, EMP-10025, EMP-10115, EMP-10037",87.3%,skill_coverage (+16%) | senior_ratio (+3%),Оптимальный баланс. Масштабировать без изменений.,[87%; 88%]
10,"EMP-10025, EMP-10044, EMP-10115, EMP-10135",87.2%,skill_coverage (+16%) | senior_ratio (+3%),Оптимальный баланс. Масштабировать без изменений.,[87%; 88%]
